>> roxford5k: mAP E: 64.03, M: 48.39, H: 23.22
>> roxford5k: mP@k[1, 5, 10] E: [88.24 76.47 71.76], M: [87.14 75.43 69.86], H: [54.29 36.93 31.64]
>> rparis6k: mAP E: 79.97, M: 61.96, H: 33.31
>> rparis6k: mP@k[1, 5, 10] E: [97.14 94.57 93.29], M: [97.14 96.57 96.29], H: [85.71 80.   75.  ]
>> Train: [1][1/2000]	Time 1.258 (1.258)	Data 0.744 (0.744)	Loss 0.1419 (0.1419)
>> Train: [1][10/2000]	Time 0.085 (0.213)	Data 0.001 (0.075)	Loss 0.1750 (0.1635)
>> Train: [1][20/2000]	Time 0.089 (0.154)	Data 0.000 (0.037)	Loss 0.1024 (0.1924)
>> Train: [1][30/2000]	Time 0.098 (0.136)	Data 0.000 (0.025)	Loss 0.2231 (0.1828)
>> Train: [1][40/2000]	Time 0.099 (0.126)	Data 0.000 (0.019)	Loss 0.4328 (0.1913)
>> Train: [1][50/2000]	Time 0.079 (0.120)	Data 0.000 (0.015)	Loss 0.0801 (0.1828)
>> Train: [1][60/2000]	Time 0.072 (0.115)	Data 0.000 (0.013)	Loss 0.2218 (0.1775)
>> Train: [1][70/2000]	Time 0.094 (0.112)	Data 0.000 (0.011)	Loss 0.1989 (0.1711)
>> Train: [1][80/2000]	Time 0.065 (0.110)	Data 0.000 (0.009)	Loss 0.0696 (0.1754)
>> Train: [1][90/2000]	Time 0.093 (0.108)	Data 0.000 (0.008)	Loss 0.1290 (0.1705)
>> Train: [1][100/2000]	Time 0.095 (0.106)	Data 0.000 (0.008)	Loss 0.2376 (0.1688)
>> Train: [1][110/2000]	Time 0.090 (0.104)	Data 0.000 (0.007)	Loss 0.0786 (0.1676)
>> Train: [1][120/2000]	Time 0.100 (0.104)	Data 0.000 (0.006)	Loss 0.2107 (0.1671)
>> Train: [1][130/2000]	Time 0.095 (0.103)	Data 0.000 (0.006)	Loss 0.1985 (0.1672)
>> Train: [1][140/2000]	Time 0.096 (0.103)	Data 0.000 (0.005)	Loss 0.1703 (0.1647)
>> Train: [1][150/2000]	Time 0.080 (0.102)	Data 0.000 (0.005)	Loss 0.1327 (0.1655)
>> Train: [1][160/2000]	Time 0.098 (0.101)	Data 0.000 (0.005)	Loss 0.1053 (0.1630)
>> Train: [1][170/2000]	Time 0.091 (0.101)	Data 0.000 (0.005)	Loss 0.1439 (0.1642)
>> Train: [1][180/2000]	Time 0.087 (0.101)	Data 0.000 (0.004)	Loss 0.1609 (0.1625)
>> Train: [1][190/2000]	Time 0.099 (0.100)	Data 0.000 (0.004)	Loss 0.1460 (0.1626)
>> Train: [1][200/2000]	Time 0.100 (0.100)	Data 0.000 (0.004)	Loss 0.1036 (0.1631)
>> Train: [1][210/2000]	Time 0.115 (0.100)	Data 0.000 (0.004)	Loss 0.0991 (0.1625)
>> Train: [1][220/2000]	Time 0.101 (0.099)	Data 0.000 (0.004)	Loss 0.1300 (0.1635)
>> Train: [1][230/2000]	Time 0.105 (0.099)	Data 0.000 (0.003)	Loss 0.0739 (0.1660)
>> Train: [1][240/2000]	Time 0.082 (0.099)	Data 0.000 (0.003)	Loss 0.0633 (0.1654)
>> Train: [1][250/2000]	Time 0.094 (0.099)	Data 0.000 (0.003)	Loss 0.1372 (0.1651)
>> Train: [1][260/2000]	Time 0.106 (0.099)	Data 0.000 (0.003)	Loss 0.1307 (0.1652)
>> Train: [1][270/2000]	Time 0.099 (0.099)	Data 0.000 (0.003)	Loss 0.0791 (0.1645)
>> Train: [1][280/2000]	Time 0.097 (0.098)	Data 0.000 (0.003)	Loss 0.3609 (0.1660)
>> Train: [1][290/2000]	Time 0.089 (0.098)	Data 0.000 (0.003)	Loss 0.1427 (0.1656)
>> Train: [1][300/2000]	Time 0.097 (0.098)	Data 0.000 (0.003)	Loss 0.1698 (0.1657)
>> Train: [1][310/2000]	Time 0.096 (0.098)	Data 0.000 (0.003)	Loss 0.2804 (0.1681)
>> Train: [1][320/2000]	Time 0.093 (0.098)	Data 0.000 (0.002)	Loss 0.0478 (0.1672)
>> Train: [1][330/2000]	Time 0.113 (0.098)	Data 0.000 (0.002)	Loss 0.1702 (0.1677)
